ELE/MEC,EQUIPAMENTO,MARCA ,MODELO,RANGE,"UNIDADE
RANGE",COD INTERNO,SERIAL,DIVISÃO,PS,ENTRADA OF ET,SAÍDA/CAL,RETORNO CAL,ULTIMA CALIBRAÇÃO,CICLO CALIBRAÇÃO,PRÓXIMA CALIBRAÇÃO,VALIDADE CALIBRAÇÃO,CERTIFICADO  ,SITUAÇÃO,COMENTÁRIOS,CUSTO ESTIMADO,CUSTO CONTRAT (R$),PAGAMENTO,LOCAL CALIBRAÇÃO,item,CERTIFICADO 
ELE ,OHMÍMETRO,AOIP,RN5306,,,CMASM-IDE-F21-025,2811NE080144A,F-21,MQT LT2 / 2026,08/23/24,09/05/24,02/17/25,02/11/25,12,02/11/26,DESCALIBRADO,certificado nº 2142012/2025 ,CMASM,,R$ 776.23,R$ 456.00,,MQT 129/2025,17,
ELE ,OHMÍMETRO,AOIP,IND43,,,CMASM-IDE-F21-026,4602VC370001D,F-21,,05/09/23,05/10/23,05/18/23,06/28/23,12,06/28/24,DESCALIBRADO,certificado nº E-0424/2023,CMASM,,R$ 150.00,R$ 456.00,,MQT 129/2025,,
ELE ,OPTICAL POWER METER,NOYES,OPM1-2C,,,CMASM-IDE-F21-027,G218734,F-21,,,,,09/01/21,12,09/01/22,DESCALIBRADO,,CMASM,,R$ 747.66,,,DESERTO,,
ELE ,"OSCILOSCÓPIO PXI 
PROPRIETÁRIO NI",NATIONAL INSTRUMENTS,NI-PXI-5122,,,CMASM-IDE-F21-028,01B7B0CB,F-21,,12/05/24,,,09/27/22,24,09/27/24,DESCALIBRADO,,CMASM,,R$ 776.23,,,DESERTO,,
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,CMASM-IDM-F21-012,X120314,F-21,MQT LT2 / 2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,falta certificado ,CMASM,,R$ 84.33,R$ 45.00,,MQT 129/2025,45,
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,CMASM-IDM-F21-013,X120317,F-21,,08/23/24,09/16/24,10/30/24,10/22/24,12,10/22/25,DESCALIBRADO,falta certificado ,CMASM,,R$ 84.33,R$ 45.00,,MQT 129/2025,,
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,CMASM-IDM-F21-014,X120377,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,,CMASM,,R$ 84.33,R$ 45.00,,MQT 129/2025,,
MEC,PAQUÍMETRO ,,PAQUÍMETRO (805.1),,,CMASM-IDM-F21-015,X120381,F-21,MQT LT2 / 2026,07/15/24,09/16/24,10/30/24,10/22/24,12,10/22/25,DESCALIBRADO,falta certificado ,CMASM,,R$ 84.33,R$ 45.00,,MQT 129/2025,45,
ELE ,REFLECTÔMETRO,EXFO,OPTICAL REFLECTOMETER EXFO FTB2 CONFIGURED WITH OTDR FTBX-735C-SM1-EA,,,CMASM-IDE-F21-033,1179658,F-21,,,,,,12,01/01/24,DESCALIBRADO,,CMASM,,,,,DESERTO,,
ELE ,TERMOHIGROMETRO,OMEGA,HH314A,"0-50 °C
0 a 100% UR",°C,CMASM-IDE-F21-034,171101511,F-21,MQT LT1.2026,12/15/25,12/15/25,01/23/26,01/05/26,12,01/05/27,CALIBRADO,CMASM-IDE-F21-03404/10/24,CMASM,,R$ 84.33,,,MQT 129/2025,,
